"id","season","city","match_type","team1","team2","toss_winner","toss_decision","venue","team1_win_pct","team2_win_pct","venue_avg_score","winner"
501214,"2011","Kolkata","League","Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders","field","Eden Gardens",52.19,51.14,166,"Kolkata Knight Riders"
501215,"2011","Kochi","League","Kochi Tuskers Kerala","Chennai Super Kings","Kochi Tuskers Kerala","field","Nehru Stadium",42.86,58.23,147,"Kochi Tuskers Kerala"
501216,"2011","Delhi","League","Delhi Capitals","Deccan Chargers","Deccan Chargers","bat","Feroz Shah Kotla",46.00,38.67,162,"Deccan Chargers"
501218,"2011","Mumbai","League","Mumbai Indians","Pune Warriors","Pune Warriors","bat","Wankhede Stadium",55.17,26.67,170,"Mumbai Indians"
501219,"2011","Kolkata","League","Kolkata Knight Riders","Kochi Tuskers Kerala","Kolkata Knight Riders","field","Eden Gardens",52.19,42.86,166,"Kochi Tuskers Kerala"
501220,"2011","Chandigarh","League","Punjab Kings","Rajasthan Royals","Rajasthan Royals","field","Punjab Cricket Association IS Bindra Stadium",45.53,51.14,168,"Punjab Kings"
501221,"2011","Mumbai","League","Mumbai Indians","Chennai Super Kings","Chennai Super Kings","field","Wankhede Stadium",55.17,58.23,170,"Mumbai Indians"
501222,"2011","Kolkata","League","Kolkata Knight Riders","Royal Challengers Bengaluru","Royal Challengers Bengaluru","field","Eden Gardens",52.19,48.81,166,"Royal Challengers Bengaluru"
501223,"2011","Delhi","League","Delhi Capitals","Punjab Kings","Punjab Kings","field","Feroz Shah Kotla",46.00,45.53,162,"Delhi Capitals"
501224,"2011","Hyderabad","League","Deccan Chargers","Mumbai Indians","Deccan Chargers","field","Rajiv Gandhi International Stadium",38.67,55.17,163,"Mumbai Indians"
501225,"2011","Jaipur","League","Rajasthan Royals","Kochi Tuskers Kerala","Rajasthan Royals","field","Sawai Mansingh Stadium",51.14,42.86,162,"Rajasthan Royals"
501226,"2011","Chennai","League","Chennai Super Kings","Pune Warriors","Pune Warriors","field","MA Chidambaram Stadium",58.23,26.67,164,"Chennai Super Kings"
501227,"2011","Delhi","League","Delhi Capitals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","field","Feroz Shah Kotla",46.00,48.81,162,"Royal Challengers Bengaluru"
501228,"2011","Mumbai","League","Pune Warriors","Chennai Super Kings","Pune Warriors","bat","Dr DY Patil Sports Academy",26.67,58.23,160,"Chennai Super Kings"
501229,"2011","Kochi","League","Kochi Tuskers Kerala","Deccan Chargers","Kochi Tuskers Kerala","field","Nehru Stadium",42.86,38.67,147,"Deccan Chargers"
501230,"2011","Delhi","League","Delhi Capitals","Kolkata Knight Riders","Delhi Capitals","field","Feroz Shah Kotla",46.00,52.19,162,"Kolkata Knight Riders"
501231,"2011","Jaipur","League","Rajasthan Royals","Mumbai Indians","Rajasthan Royals","field","Sawai Mansingh Stadium",51.14,55.17,162,"Rajasthan Royals"
501232,"2011","Bangalore","League","Royal Challengers Bengaluru","Pune Warriors","Pune Warriors","field","M Chinnaswamy Stadium",48.81,26.67,173,"Royal Challengers Bengaluru"
501233,"2011","Kochi","League","Kochi Tuskers Kerala","Delhi Capitals","Delhi Capitals","bat","Nehru Stadium",42.86,46.00,147,"Delhi Capitals"
501234,"2011","Kolkata","League","Kolkata Knight Riders","Punjab Kings","Kolkata Knight Riders","field","Eden Gardens",52.19,45.53,166,"Kolkata Knight Riders"
501235,"2011","Jaipur","League","Rajasthan Royals","Pune Warriors","Rajasthan Royals","field","Sawai Mansingh Stadium",51.14,26.67,162,"Rajasthan Royals"
501236,"2011","Chennai","League","Chennai Super Kings","Deccan Chargers","Chennai Super Kings","bat","MA Chidambaram Stadium",58.23,38.67,164,"Chennai Super Kings"
501237,"2011","Mumbai","League","Mumbai Indians","Punjab Kings","Punjab Kings","field","Wankhede Stadium",55.17,45.53,170,"Mumbai Indians"
501238,"2011","Delhi","League","Delhi Capitals","Kochi Tuskers Kerala","Kochi Tuskers Kerala","field","Feroz Shah Kotla",46.00,42.86,162,"Kochi Tuskers Kerala"
501239,"2011","Hyderabad","League","Deccan Chargers","Kolkata Knight Riders","Deccan Chargers","field","Rajiv Gandhi International Stadium",38.67,52.19,163,"Kolkata Knight Riders"
501240,"2011","Chennai","League","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","bat","MA Chidambaram Stadium",58.23,51.14,164,"Chennai Super Kings"
501241,"2011","Mumbai","League","Pune Warriors","Mumbai Indians","Pune Warriors","field","Dr DY Patil Sports Academy",26.67,55.17,160,"Mumbai Indians"
