"id","season","city","match_type","team1","team2","toss_winner","toss_decision","venue","team1_win_pct","team2_win_pct","venue_avg_score","winner"
548343,"2012","Chennai","League","Chennai Super Kings","Punjab Kings","Punjab Kings","bat","MA Chidambaram Stadium",58.23,45.53,164,"Punjab Kings"
548344,"2012","Kolkata","League","Kolkata Knight Riders","Royal Challengers Bengaluru","Kolkata Knight Riders","bat","Eden Gardens",52.19,48.81,166,"Kolkata Knight Riders"
548345,"2012","Delhi","League","Delhi Capitals","Rajasthan Royals","Delhi Capitals","bat","Feroz Shah Kotla",46.00,51.14,162,"Delhi Capitals"
548346,"2012","Mumbai","League","Mumbai Indians","Deccan Chargers","Mumbai Indians","field","Wankhede Stadium",55.17,38.67,170,"Mumbai Indians"
548347,"2012","Chennai","League","Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","bat","MA Chidambaram Stadium",58.23,52.19,164,"Kolkata Knight Riders"
548348,"2012","Cuttack","League","Deccan Chargers","Pune Warriors","Deccan Chargers","bat","Barabati Stadium",38.67,26.67,168,"Deccan Chargers"
548349,"2012","Jaipur","League","Rajasthan Royals","Delhi Capitals","Rajasthan Royals","bat","Sawai Mansingh Stadium",51.14,46.00,162,"Delhi Capitals"
548350,"2012","Bangalore","League","Royal Challengers Bengaluru","Punjab Kings","Punjab Kings","field","M Chinnaswamy Stadium",48.81,45.53,173,"Punjab Kings"
548351,"2012","Pune","League","Pune Warriors","Mumbai Indians","Mumbai Indians","bat","Subrata Roy Sahara Stadium",26.67,55.17,149,"Mumbai Indians"
548352,"2012","Chennai","League","Chennai Super Kings","Deccan Chargers","Chennai Super Kings","bat","MA Chidambaram Stadium",58.23,38.67,164,"Chennai Super Kings"
548353,"2012","Kolkata","League","Kolkata Knight Riders","Pune Warriors","Kolkata Knight Riders","bat","Eden Gardens",52.19,26.67,166,"Kolkata Knight Riders"
548354,"2012","Chandigarh","League","Punjab Kings","Rajasthan Royals","Rajasthan Royals","bat","Punjab Cricket Association IS Bindra Stadium",45.53,51.14,168,"Rajasthan Royals"
548355,"2012","Mumbai","League","Mumbai Indians","Chennai Super Kings","Mumbai Indians","field","Wankhede Stadium",55.17,58.23,170,"Mumbai Indians"
548356,"2012","Bangalore","League","Royal Challengers Bengaluru","Deccan Chargers","Royal Challengers Bengaluru","field","M Chinnaswamy Stadium",48.81,38.67,173,"Royal Challengers Bengaluru"
548357,"2012","Delhi","League","Delhi Capitals","Kolkata Knight Riders","Delhi Capitals","bat","Feroz Shah Kotla",46.00,52.19,162,"Kolkata Knight Riders"
548358,"2012","Pune","League","Pune Warriors","Rajasthan Royals","Pune Warriors","bat","Subrata Roy Sahara Stadium",26.67,51.14,149,"Rajasthan Royals"
548359,"2012","Hyderabad","League","Deccan Chargers","Punjab Kings","Deccan Chargers","field","Rajiv Gandhi International Stadium",38.67,45.53,163,"Punjab Kings"
548360,"2012","Mumbai","League","Mumbai Indians","Royal Challengers Bengaluru","Royal Challengers Bengaluru","field","Wankhede Stadium",55.17,48.81,170,"Royal Challengers Bengaluru"
548361,"2012","Jaipur","League","Rajasthan Royals","Chennai Super Kings","Chennai Super Kings","field","Sawai Mansingh Stadium",51.14,58.23,162,"Chennai Super Kings"
548362,"2012","Pune","League","Pune Warriors","Royal Challengers Bengaluru","Pune Warriors","field","Subrata Roy Sahara Stadium",26.67,48.81,149,"Royal Challengers Bengaluru"
548363,"2012","Kolkata","League","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","bat","Eden Gardens",52.19,55.17,166,"Mumbai Indians"
548364,"2012","Chennai","League","Chennai Super Kings","Delhi Capitals","Chennai Super Kings","field","MA Chidambaram Stadium",58.23,46.00,164,"Chennai Super Kings"
548365,"2012","Jaipur","League","Rajasthan Royals","Pune Warriors","Rajasthan Royals","bat","Sawai Mansingh Stadium",51.14,26.67,162,"Rajasthan Royals"
548366,"2012","Chandigarh","League","Punjab Kings","Deccan Chargers","Deccan Chargers","bat","Punjab Cricket Association IS Bindra Stadium",45.53,38.67,168,"Punjab Kings"
548367,"2012","Bangalore","League","Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","field","M Chinnaswamy Stadium",48.81,55.17,173,"Mumbai Indians"
548368,"2012","Kolkata","League","Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","field","Eden Gardens",52.19,58.23,166,"Chennai Super Kings"
548369,"2012","Delhi","League","Delhi Capitals","Punjab Kings","Punjab Kings","bat","Feroz Shah Kotla",46.00,45.53,162,"Delhi Capitals"
548370,"2012","Mumbai","League","Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","field","Wankhede Stadium",55.17,52.19,170,"Kolkata Knight Riders"
548371,"2012","Dharamsala","League","Punjab Kings","Chennai Super Kings","Punjab Kings","field","Himachal Pradesh Cricket Association Stadium",45.53,58.23,184,"Punjab Kings"
548372,"2012","Delhi","League","Delhi Capitals","Royal Challengers Bengaluru","Delhi Capitals","field","Feroz Shah Kotla",46.00,48.81,162,"Royal Challengers Bengaluru"
548373,"2012","Hyderabad","League","Deccan Chargers","Rajasthan Royals","Rajasthan Royals","bat","Rajiv Gandhi International Stadium",38.67,51.14,163,"Deccan Chargers"
548374,"2012","Dharamsala","League","Punjab Kings","Delhi Capitals","Delhi Capitals","field","Himachal Pradesh Cricket Association Stadium",45.53,46.00,184,"Delhi Capitals"
548375,"2012","Pune","League","Pune Warriors","Kolkata Knight Riders","Kolkata Knight Riders","bat","Subrata Roy Sahara Stadium",26.67,52.19,149,"Kolkata Knight Riders"
548376,"2012","Hyderabad","League","Deccan Chargers","Royal Challengers Bengaluru","Royal Challengers Bengaluru","field","Rajiv Gandhi International Stadium",38.67,48.81,163,"Deccan Chargers"
548377,"2012","Jaipur","League","Rajasthan Royals","Mumbai Indians","Rajasthan Royals","bat","Sawai Mansingh Stadium",51.14,55.17,162,"Mumbai Indians"
548378,"2012","Pune","Qualifier 1","Delhi Capitals","Kolkata Knight Riders","Kolkata Knight Riders","bat","Subrata Roy Sahara Stadium",46.00,52.19,149,"Kolkata Knight Riders"
548379,"2012","Bangalore","Elimination Final","Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","M Chinnaswamy Stadium",58.23,55.17,173,"Chennai Super Kings"
548380,"2012","Chennai","Qualifier 2","Delhi Capitals","Chennai Super Kings","Delhi Capitals","field","MA Chidambaram Stadium",46.00,58.23,164,"Chennai Super Kings"
548381,"2012","Chennai","Final","Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","bat","MA Chidambaram Stadium",52.19,58.23,164,"Kolkata Knight Riders"
597998,"2013","Kolkata","League","Kolkata Knight Riders","Delhi Capitals","Kolkata Knight Riders","field","Eden Gardens",52.19,46.00,166,"Kolkata Knight Riders"
597999,"2013","Bangalore","League","Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","field","M Chinnaswamy Stadium",48.81,55.17,173,"Royal Challengers Bengaluru"
598000,"2013","Hyderabad","League","Sunrisers Hyderabad","Pune Warriors","Pune Warriors","field","Rajiv Gandhi International Stadium",48.35,26.67,163,"Sunrisers Hyderabad"
598001,"2013","Delhi","League","Delhi Capitals","Rajasthan Royals","Rajasthan Royals","bat","Feroz Shah Kotla",46.00,51.14,162,"Rajasthan Royals"
598002,"2013","Chennai","League","Chennai Super Kings","Mumbai Indians","Mumbai Indians","bat","MA Chidambaram Stadium",58.23,55.17,164,"Mumbai Indians"
598003,"2013","Pune","League","Pune Warriors","Punjab Kings","Pune Warriors","bat","Subrata Roy Sahara Stadium",26.67,45.53,149,"Punjab Kings"
598004,"2013","Hyderabad","League","Sunrisers Hyderabad","Royal Challengers Bengaluru","Royal Challengers Bengaluru","bat","Rajiv Gandhi International Stadium",48.35,48.81,163,"Sunrisers Hyderabad"
598005,"2013","Jaipur","League","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","Sawai Mansingh Stadium",51.14,52.19,162,"Rajasthan Royals"
598006,"2013","Mumbai","League","Mumbai Indians","Delhi Capitals","Mumbai Indians","bat","Wankhede Stadium",55.17,46.00,170,"Mumbai Indians"
598007,"2013","Chandigarh","League","Punjab Kings","Chennai Super Kings","Chennai Super Kings","field","Punjab Cricket Association IS Bindra Stadium",45.53,58.23,168,"Chennai Super Kings"
598008,"2013","Bangalore","League","Royal Challengers Bengaluru","Kolkata Knight Riders","Royal Challengers Bengaluru","field","M Chinnaswamy Stadium",48.81,52.19,173,"Royal Challengers Bengaluru"
598009,"2013","Pune","League","Pune Warriors","Rajasthan Royals","Rajasthan Royals","bat","Subrata Roy Sahara Stadium",26.67,51.14,149,"Pune Warriors"
598010,"2013","Delhi","League","Delhi Capitals","Sunrisers Hyderabad","Delhi Capitals","bat","Feroz Shah Kotla",46.00,48.35,162,"Sunrisers Hyderabad"
598011,"2013","Mumbai","League","Mumbai Indians","Pune Warriors","Mumbai Indians","bat","Wankhede Stadium",55.17,26.67,170,"Mumbai Indians"
598012,"2013","Chennai","League","Chennai Super Kings","Royal Challengers Bengaluru","Chennai Super Kings","field","MA Chidambaram Stadium",58.23,48.81,164,"Chennai Super Kings"
598013,"2013","Kolkata","League","Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders","bat","Eden Gardens",52.19,48.35,166,"Kolkata Knight Riders"
598014,"2013","Jaipur","League","Rajasthan Royals","Punjab Kings","Rajasthan Royals","field","Sawai Mansingh Stadium",51.14,45.53,162,"Rajasthan Royals"
598015,"2013","Chennai","League","Chennai Super Kings","Pune Warriors","Pune Warriors","bat","MA Chidambaram Stadium",58.23,26.67,164,"Pune Warriors"
598016,"2013","Chandigarh","League","Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","field","Punjab Cricket Association IS Bindra Stadium",45.53,52.19,168,"Punjab Kings"
598017,"2013","Bangalore","League","Royal Challengers Bengaluru","Delhi Capitals","Royal Challengers Bengaluru","field","M Chinnaswamy Stadium",48.81,46.00,173,"Royal Challengers Bengaluru"
598018,"2013","Pune","League","Pune Warriors","Sunrisers Hyderabad","Pune Warriors","field","Maharashtra Cricket Association Stadium",26.67,48.35,168,"Sunrisers Hyderabad"
598019,"2013","Jaipur","League","Rajasthan Royals","Mumbai Indians","Rajasthan Royals","bat","Sawai Mansingh Stadium",51.14,55.17,162,"Rajasthan Royals"
598020,"2013","Delhi","League","Delhi Capitals","Chennai Super Kings","Chennai Super Kings","bat","Feroz Shah Kotla",46.00,58.23,162,"Chennai Super Kings"
598021,"2013","Hyderabad","League","Sunrisers Hyderabad","Punjab Kings","Punjab Kings","bat","Rajiv Gandhi International Stadium",48.35,45.53,163,"Sunrisers Hyderabad"
598022,"2013","Kolkata","League","Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","bat","Eden Gardens",52.19,58.23,166,"Chennai Super Kings"
598023,"2013","Bangalore","League","Royal Challengers Bengaluru","Rajasthan Royals","Royal Challengers Bengaluru","field","M Chinnaswamy Stadium",48.81,51.14,173,"Royal Challengers Bengaluru"
598024,"2013","Delhi","League","Delhi Capitals","Mumbai Indians","Mumbai Indians","bat","Feroz Shah Kotla",46.00,55.17,162,"Delhi Capitals"
598025,"2013","Chandigarh","League","Punjab Kings","Pune Warriors","Punjab Kings","field","Punjab Cricket Association IS Bindra Stadium",45.53,26.67,168,"Punjab Kings"
598026,"2013","Chennai","League","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","bat","MA Chidambaram Stadium",58.23,51.14,164,"Chennai Super Kings"
598027,"2013","Bangalore","League","Royal Challengers Bengaluru","Pune Warriors","Pune Warriors","field","M Chinnaswamy Stadium",48.81,26.67,173,"Royal Challengers Bengaluru"
598028,"2013","Dharamsala","League","Punjab Kings","Delhi Capitals","Delhi Capitals","field","Himachal Pradesh Cricket Association Stadium",45.53,46.00,184,"Punjab Kings"
598029,"2013","Kolkata","League","Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","bat","Eden Gardens",52.19,55.17,166,"Mumbai Indians"
598030,"2013","Chennai","League","Chennai Super Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","bat","MA Chidambaram Stadium",58.23,48.35,164,"Chennai Super Kings"
598031,"2013","Kolkata","League","Kolkata Knight Riders","Punjab Kings","Punjab Kings","bat","Eden Gardens",52.19,45.53,166,"Kolkata Knight Riders"
598032,"2013","Jaipur","League","Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad","bat","Sawai Mansingh Stadium",51.14,48.35,162,"Rajasthan Royals"
598033,"2013","Mumbai","League","Mumbai Indians","Royal Challengers Bengaluru","Mumbai Indians","bat","Wankhede Stadium",55.17,48.81,170,"Mumbai Indians"
598034,"2013","Chennai","League","Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","field","MA Chidambaram Stadium",58.23,52.19,164,"Chennai Super Kings"
598035,"2013","Raipur","League","Delhi Capitals","Pune Warriors","Pune Warriors","field","Shaheed Veer Narayan Singh International Stadium",46.00,26.67,146,"Delhi Capitals"
598036,"2013","Jaipur","League","Rajasthan Royals","Royal Challengers Bengaluru","Rajasthan Royals","field","Sawai Mansingh Stadium",51.14,48.81,162,"Rajasthan Royals"
598037,"2013","Mumbai","League","Mumbai Indians","Punjab Kings","Mumbai Indians","bat","Wankhede Stadium",55.17,45.53,170,"Mumbai Indians"
598038,"2013","Pune","League","Pune Warriors","Chennai Super Kings","Chennai Super Kings","bat","Subrata Roy Sahara Stadium",26.67,58.23,149,"Chennai Super Kings"
598039,"2013","Hyderabad","League","Sunrisers Hyderabad","Mumbai Indians","Mumbai Indians","bat","Rajiv Gandhi International Stadium",48.35,55.17,163,"Sunrisers Hyderabad"
598040,"2013","Raipur","League","Delhi Capitals","Kolkata Knight Riders","Kolkata Knight Riders","bat","Shaheed Veer Narayan Singh International Stadium",46.00,52.19,146,"Delhi Capitals"
598041,"2013","Chennai","League","Chennai Super Kings","Punjab Kings","Chennai Super Kings","bat","MA Chidambaram Stadium",58.23,45.53,164,"Chennai Super Kings"
598042,"2013","Pune","League","Pune Warriors","Royal Challengers Bengaluru","Royal Challengers Bengaluru","bat","Subrata Roy Sahara Stadium",26.67,48.81,149,"Royal Challengers Bengaluru"
598043,"2013","Kolkata","League","Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","bat","Eden Gardens",52.19,51.14,166,"Kolkata Knight Riders"
598044,"2013","Hyderabad","League","Sunrisers Hyderabad","Delhi Capitals","Delhi Capitals","bat","Rajiv Gandhi International Stadium",48.35,46.00,163,"Sunrisers Hyderabad"
598045,"2013","Bangalore","League","Royal Challengers Bengaluru","Punjab Kings","Punjab Kings","field","M Chinnaswamy Stadium",48.81,45.53,173,"Punjab Kings"
598046,"2013","Mumbai","League","Mumbai Indians","Chennai Super Kings","Mumbai Indians","bat","Wankhede Stadium",55.17,58.23,170,"Mumbai Indians"
598047,"2013","Jaipur","League","Rajasthan Royals","Pune Warriors","Pune Warriors","bat","Sawai Mansingh Stadium",51.14,26.67,162,"Rajasthan Royals"
598048,"2013","Bangalore","League","Royal Challengers Bengaluru","Sunrisers Hyderabad","Sunrisers Hyderabad","bat","M Chinnaswamy Stadium",48.81,48.35,173,"Royal Challengers Bengaluru"
598049,"2013","Jaipur","League","Rajasthan Royals","Delhi Capitals","Delhi Capitals","bat","Sawai Mansingh Stadium",51.14,46.00,162,"Rajasthan Royals"
598050,"2013","Mumbai","League","Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","bat","Wankhede Stadium",55.17,52.19,170,"Mumbai Indians"
598051,"2013","Hyderabad","League","Sunrisers Hyderabad","Chennai Super Kings","Sunrisers Hyderabad","field","Rajiv Gandhi International Stadium",48.35,58.23,163,"Chennai Super Kings"
598052,"2013","Chandigarh","League","Punjab Kings","Rajasthan Royals","Rajasthan Royals","field","Punjab Cricket Association IS Bindra Stadium",45.53,51.14,168,"Rajasthan Royals"
598053,"2013","Pune","League","Pune Warriors","Kolkata Knight Riders","Kolkata Knight Riders","bat","Subrata Roy Sahara Stadium",26.67,52.19,149,"Kolkata Knight Riders"
598054,"2013","Delhi","League","Delhi Capitals","Royal Challengers Bengaluru","Delhi Capitals","field","Feroz Shah Kotla",46.00,48.81,162,"Royal Challengers Bengaluru"
598055,"2013","Pune","League","Pune Warriors","Mumbai Indians","Pune Warriors","bat","Subrata Roy Sahara Stadium",26.67,55.17,149,"Mumbai Indians"
598056,"2013","Chandigarh","League","Punjab Kings","Sunrisers Hyderabad","Punjab Kings","field","Punjab Cricket Association IS Bindra Stadium",45.53,48.35,168,"Sunrisers Hyderabad"
598057,"2013","Ranchi","League","Kolkata Knight Riders","Royal Challengers Bengaluru","Kolkata Knight Riders","field","JSCA International Stadium Complex",52.19,48.81,149,"Kolkata Knight Riders"
598058,"2013","Jaipur","League","Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","field","Sawai Mansingh Stadium",51.14,58.23,162,"Rajasthan Royals"
598059,"2013","Delhi","League","Delhi Capitals","Punjab Kings","Punjab Kings","field","Feroz Shah Kotla",46.00,45.53,162,"Punjab Kings"
598060,"2013","Mumbai","League","Mumbai Indians","Sunrisers Hyderabad","Sunrisers Hyderabad","bat","Wankhede Stadium",55.17,48.35,170,"Mumbai Indians"
598061,"2013","Ranchi","League","Kolkata Knight Riders","Pune Warriors","Kolkata Knight Riders","field","JSCA International Stadium Complex",52.19,26.67,149,"Pune Warriors"
598062,"2013","Chennai","League","Chennai Super Kings","Delhi Capitals","Chennai Super Kings","bat","MA Chidambaram Stadium",58.23,46.00,164,"Chennai Super Kings"
598063,"2013","Mumbai","League","Mumbai Indians","Rajasthan Royals","Rajasthan Royals","field","Wankhede Stadium",55.17,51.14,170,"Mumbai Indians"
598064,"2013","Chandigarh","League","Punjab Kings","Royal Challengers Bengaluru","Punjab Kings","field","Punjab Cricket Association IS Bindra Stadium",45.53,48.81,168,"Punjab Kings"
598065,"2013","Hyderabad","League","Sunrisers Hyderabad","Rajasthan Royals","Sunrisers Hyderabad","bat","Rajiv Gandhi International Stadium",48.35,51.14,163,"Sunrisers Hyderabad"
598066,"2013","Dharamsala","League","Punjab Kings","Mumbai Indians","Mumbai Indians","field","Himachal Pradesh Cricket Association Stadium",45.53,55.17,184,"Punjab Kings"
598067,"2013","Pune","League","Pune Warriors","Delhi Capitals","Pune Warriors","bat","Subrata Roy Sahara Stadium",26.67,46.00,149,"Pune Warriors"
598068,"2013","Bangalore","League","Royal Challengers Bengaluru","Chennai Super Kings","Chennai Super Kings","field","M Chinnaswamy Stadium",48.81,58.23,173,"Royal Challengers Bengaluru"
598069,"2013","Hyderabad","League","Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","bat","Rajiv Gandhi International Stadium",48.35,52.19,163,"Sunrisers Hyderabad"
598070,"2013","Delhi","Qualifier 1","Chennai Super Kings","Mumbai Indians","Chennai Super Kings","bat","Feroz Shah Kotla",58.23,55.17,162,"Chennai Super Kings"
598071,"2013","Delhi","Eliminator","Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad","bat","Feroz Shah Kotla",51.14,48.35,162,"Rajasthan Royals"
598072,"2013","Kolkata","Qualifier 2","Mumbai Indians","Rajasthan Royals","Rajasthan Royals","bat","Eden Gardens",55.17,51.14,166,"Mumbai Indians"
598073,"2013","Kolkata","Final","Chennai Super Kings","Mumbai Indians","Mumbai Indians","bat","Eden Gardens",58.23,55.17,166,"Mumbai Indians"
729279,"2014","Abu Dhabi","League","Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders","bat","Sheikh Zayed Stadium",55.17,52.19,159,"Kolkata Knight Riders"
729281,"2014","NA","League","Delhi Capitals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","field","Sharjah Cricket Stadium",46.00,48.81,159,"Royal Challengers Bengaluru"
729283,"2014","Abu Dhabi","League","Chennai Super Kings","Punjab Kings","Chennai Super Kings","bat","Sheikh Zayed Stadium",58.23,45.53,159,"Punjab Kings"
729285,"2014","Abu Dhabi","League","Sunrisers Hyderabad","Rajasthan Royals","Rajasthan Royals","field","Sheikh Zayed Stadium",48.35,51.14,159,"Rajasthan Royals"
729287,"2014","NA","League","Royal Challengers Bengaluru","Mumbai Indians","Royal Challengers Bengaluru","field","Dubai International Cricket Stadium",48.81,55.17,164,"Royal Challengers Bengaluru"
729289,"2014","NA","League","Kolkata Knight Riders","Delhi Capitals","Kolkata Knight Riders","bat","Dubai International Cricket Stadium",52.19,46.00,164,"Delhi Capitals"
729291,"2014","NA","League","Rajasthan Royals","Punjab Kings","Punjab Kings","field","Sharjah Cricket Stadium",51.14,45.53,159,"Punjab Kings"
729293,"2014","Abu Dhabi","League","Chennai Super Kings","Delhi Capitals","Chennai Super Kings","bat","Sheikh Zayed Stadium",58.23,46.00,159,"Chennai Super Kings"
729295,"2014","NA","League","Punjab Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","field","Sharjah Cricket Stadium",45.53,48.35,159,"Punjab Kings"
729297,"2014","NA","League","Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","field","Dubai International Cricket Stadium",51.14,58.23,164,"Chennai Super Kings"
729299,"2014","NA","League","Royal Challengers Bengaluru","Kolkata Knight Riders","Royal Challengers Bengaluru","field","Sharjah Cricket Stadium",48.81,52.19,159,"Kolkata Knight Riders"
729301,"2014","NA","League","Sunrisers Hyderabad","Delhi Capitals","Sunrisers Hyderabad","bat","Dubai International Cricket Stadium",48.35,46.00,164,"Sunrisers Hyderabad"
729303,"2014","NA","League","Chennai Super Kings","Mumbai Indians","Mumbai Indians","bat","Dubai International Cricket Stadium",58.23,55.17,164,"Chennai Super Kings"
729305,"2014","Abu Dhabi","League","Rajasthan Royals","Royal Challengers Bengaluru","Rajasthan Royals","field","Sheikh Zayed Stadium",51.14,48.81,159,"Rajasthan Royals"
729307,"2014","Abu Dhabi","League","Kolkata Knight Riders","Punjab Kings","Kolkata Knight Riders","field","Sheikh Zayed Stadium",52.19,45.53,159,"Punjab Kings"
729309,"2014","NA","League","Delhi Capitals","Mumbai Indians","Mumbai Indians","bat","Sharjah Cricket Stadium",46.00,55.17,159,"Delhi Capitals"
729311,"2014","NA","League","Sunrisers Hyderabad","Chennai Super Kings","Sunrisers Hyderabad","bat","Sharjah Cricket Stadium",48.35,58.23,159,"Chennai Super Kings"
729313,"2014","NA","League","Punjab Kings","Royal Challengers Bengaluru","Punjab Kings","field","Dubai International Cricket Stadium",45.53,48.81,164,"Punjab Kings"
729315,"2014","Abu Dhabi","League","Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","bat","Sheikh Zayed Stadium",52.19,51.14,159,"Rajasthan Royals"
729317,"2014","NA","League","Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","field","Dubai International Cricket Stadium",55.17,48.35,164,"Sunrisers Hyderabad"
733971,"2014","Ranchi","League","Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","bat","JSCA International Stadium Complex",58.23,52.19,149,"Chennai Super Kings"
733973,"2014","Mumbai","League","Mumbai Indians","Punjab Kings","Punjab Kings","bat","Wankhede Stadium",55.17,45.53,170,"Mumbai Indians"
733975,"2014","Delhi","League","Delhi Capitals","Rajasthan Royals","Rajasthan Royals","field","Feroz Shah Kotla",46.00,51.14,162,"Rajasthan Royals"
733977,"2014","Bangalore","League","Royal Challengers Bengaluru","Sunrisers Hyderabad","Royal Challengers Bengaluru","field","M Chinnaswamy Stadium",48.81,48.35,173,"Royal Challengers Bengaluru"
733979,"2014","Ahmedabad","League","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","Sardar Patel Stadium, Motera",51.14,52.19,163,"Rajasthan Royals"
733981,"2014","Delhi","League","Delhi Capitals","Chennai Super Kings","Chennai Super Kings","field","Feroz Shah Kotla",46.00,58.23,162,"Chennai Super Kings"
733983,"2014","Mumbai","League","Mumbai Indians","Royal Challengers Bengaluru","Royal Challengers Bengaluru","field","Wankhede Stadium",55.17,48.81,170,"Mumbai Indians"
733985,"2014","Delhi","League","Delhi Capitals","Kolkata Knight Riders","Delhi Capitals","bat","Feroz Shah Kotla",46.00,52.19,162,"Kolkata Knight Riders"
733987,"2014","Cuttack","League","Punjab Kings","Chennai Super Kings","Chennai Super Kings","field","Barabati Stadium",45.53,58.23,168,"Punjab Kings"
733989,"2014","Ahmedabad","League","Rajasthan Royals","Sunrisers Hyderabad","Rajasthan Royals","field","Sardar Patel Stadium, Motera",51.14,48.35,163,"Sunrisers Hyderabad"
733991,"2014","Bangalore","League","Royal Challengers Bengaluru","Punjab Kings","Royal Challengers Bengaluru","field","M Chinnaswamy Stadium",48.81,45.53,173,"Punjab Kings"
733993,"2014","Delhi","League","Delhi Capitals","Sunrisers Hyderabad","Sunrisers Hyderabad","field","Feroz Shah Kotla",46.00,48.35,162,"Sunrisers Hyderabad"
733995,"2014","Mumbai","League","Mumbai Indians","Chennai Super Kings","Chennai Super Kings","field","Wankhede Stadium",55.17,58.23,170,"Chennai Super Kings"
733997,"2014","Cuttack","League","Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","field","Barabati Stadium",45.53,52.19,168,"Kolkata Knight Riders"
733999,"2014","Bangalore","League","Royal Challengers Bengaluru","Rajasthan Royals","Royal Challengers Bengaluru","bat","M Chinnaswamy Stadium",48.81,51.14,173,"Rajasthan Royals"
734001,"2014","Hyderabad","League","Sunrisers Hyderabad","Mumbai Indians","Sunrisers Hyderabad","bat","Rajiv Gandhi International Stadium",48.35,55.17,163,"Mumbai Indians"
734003,"2014","Ranchi","League","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","bat","JSCA International Stadium Complex",58.23,51.14,149,"Chennai Super Kings"
734005,"2014","Bangalore","League","Royal Challengers Bengaluru","Delhi Capitals","Delhi Capitals","field","M Chinnaswamy Stadium",48.81,46.00,173,"Royal Challengers Bengaluru"
734007,"2014","Hyderabad","League","Sunrisers Hyderabad","Punjab Kings","Punjab Kings","field","Rajiv Gandhi International Stadium",48.35,45.53,163,"Punjab Kings"
734009,"2014","Cuttack","League","Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","field","Barabati Stadium",52.19,55.17,168,"Kolkata Knight Riders"
734011,"2014","Ahmedabad","League","Rajasthan Royals","Delhi Capitals","Delhi Capitals","field","Sardar Patel Stadium, Motera",51.14,46.00,163,"Rajasthan Royals"
734013,"2014","Ranchi","League","Chennai Super Kings","Royal Challengers Bengaluru","Chennai Super Kings","bat","JSCA International Stadium Complex",58.23,48.81,149,"Royal Challengers Bengaluru"
734015,"2014","Hyderabad","League","Sunrisers Hyderabad","Kolkata Knight Riders","Sunrisers Hyderabad","bat","Rajiv Gandhi International Stadium",48.35,52.19,163,"Kolkata Knight Riders"
734017,"2014","Ahmedabad","League","Rajasthan Royals","Mumbai Indians","Mumbai Indians","bat","Sardar Patel Stadium, Motera",51.14,55.17,163,"Mumbai Indians"
734019,"2014","Delhi","League","Delhi Capitals","Punjab Kings","Punjab Kings","field","Feroz Shah Kotla",46.00,45.53,162,"Punjab Kings"
734021,"2014","Hyderabad","League","Sunrisers Hyderabad","Royal Challengers Bengaluru","Royal Challengers Bengaluru","bat","Rajiv Gandhi International Stadium",48.35,48.81,163,"Sunrisers Hyderabad"
734023,"2014","Kolkata","League","Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","field","Eden Gardens",52.19,58.23,166,"Kolkata Knight Riders"
734025,"2014","Chandigarh","League","Punjab Kings","Mumbai Indians","Mumbai Indians","field","Punjab Cricket Association IS Bindra Stadium",45.53,55.17,168,"Mumbai Indians"
734027,"2014","Kolkata","League","Kolkata Knight Riders","Royal Challengers Bengaluru","Royal Challengers Bengaluru","field","Eden Gardens",52.19,48.81,166,"Kolkata Knight Riders"
